TI,authors
Using Accountability to Reduce Access Policy Violations in Information Systems,"Anthony Vance, Paul Benjamin  Lowry, Denis  Eggett"
BEYOND DETERRENCE: AN EXPANDED VIEW OF EMPLOYEE COMPUTER ABUSE,"Robert Willison, Merrill  Warkentin"
BRIDGING THE QUALITATIVE-QUANTITATIVE DIVIDE: GUIDELINES FOR CONDUCTING MIXED METHODS RESEARCH IN INFORMATION SYSTEMS,"Viswanath Venkatesh, Susan A.  Brown, Hillol  Bala"
IMPACT OF INFORMATION FEEDBACK IN CONTINUOUS COMBINATORIAL AUCTIONS: AN EXPERIMENTAL STUDY OF ECONOMIC PERFORMANCE,"Gediminas Adomavicius, Shawn P.  Curley, Alok  Gupta, Pallab  Sanyal"
IT-MEDIATED CUSTOMER SERVICE CONTENT AND DELIVERY IN ELECTRONIC GOVERNMENTS: AN EMPIRICAL INVESTIGATION OF THE ANTECEDENTS OF SERVICE QUALITY,"Chee-Wee Tan, Izak  Benbasat, Ronald T.  Cenfetelli"
DIGITAL GAMES AND BEYOND: WHAT HAPPENS WHEN PLAYERS COMPETE?,"De Liu, Xun  Li, Radhika  Santhanam"
DATA MODEL DEVELOPMENT FOR FIRE RELATED EXTREME EVENTS: AN ACTIVITY THEORY APPROACH,"Rui Chen, Raj  Sharman, H. Raghav  Rao, Shambhu J.  Upadhyaya"
EXAMINING THE RELATIONAL BENEFITS OF IMPROVED INTERFIRM INFORMATION PROCESSING CAPABILITY IN BUYER-SUPPLIER DYADS,"Eric T. G. Wang, Jeffrey C. F.  Tai, Varun  Grover"
INTERNATIONALIZATION STRATEGIES OF CHINESE IT SERVICE SUPPLIERS,Ning Su
A RHETORICAL APPROACH TO IT DIFFUSION: RECONCEPTUALIZING THE IDEOLOGY-FRAMING RELATIONSHIP IN COMPUTERIZATION MOVEMENTS,"Michael Barrett, Loizos  Heracleous, Geoff  Walsham"
THE EMBEDDEDNESS OF INFORMATION SYSTEMS HABITS IN ORGANIZATIONAL AND INDIVIDUAL LEVEL ROUTINES: DEVELOPMENT AND DISRUPTION,"Greta L. Polites, Elena  Karahanna"
THE AFFECTIVE RESPONSE MODEL: A THEORETICAL FRAMEWORK OF AFFECTIVE CONCEPTS AND THEIR RELATIONSHIPS IN THE ICT CONTEXT,Ping Zhang
INTERNET PRIVACY CONCERNS: AN INTEGRATED CONCEPTUALIZATION AND FOUR EMPIRICAL STUDIES,"Weiyin Hong, James Y. L.  Thong"
SOCIAL INFLUENCE AND KNOWLEDGE MANAGEMENT SYSTEMS USE: EVIDENCE FROM PANEL DATA,"Yinglei Wang, Darren B.  Meister, Peter H.  Gray"
INFORMATION TECHNOLOGY OUTSOURCING AND NON-IT OPERATING COSTS: AN EMPIRICAL INVESTIGATION,"Kunsoo Han, Sunil  Mithas"
When Social Media Can Be Bad for You: Community Feedback Stifles Consumer Creativity and Reduces Satisfaction with Self-Designed Products,"Christian Hildebrand, Gerald  Haeubl, Andreas  Herrmann, Jan R.  Landwehr"
Social Network Effects on Productivity and Job Security: Evidence from the Adoption of a Social Networking Tool,Lynn Wu
Active Social Media Management: The Case of Health Care,"Amalia R. Miller, Catherine  Tucker"
Social Ties and User Content Generation: Evidence from Flickr,"Xiaohua Zeng, Liyuan  Wei"
Social Media Brand Community and Consumer Behavior: Quantifying the Relative Impact of User- and Marketer-Generated Content,"Khim-Yong Goh, Cheng-Suang  Heng, Zhijie  Lin"
The Effect of Customers' Social Media Participation on Customer Visit Frequency and Profitability: An Empirical Investigation,"Rishika Rishika, Ashish  Kumar, Ramkumar  Janakiraman, Ram  Bezawada"
Predicting Adoption Probabilities in Social Networks,"Xiao Fang, Paul Jen-Hwa  Hu, Zhepeng (Lionel)  Li, Weiyu  Tsai"
Social Media and Firm Equity Value,"Xueming Luo, Jie  Zhang, Wenjing  Duan"
Engineering Optimal Network Effects via Social Media Features and Seeding in Markets for Digital Goods and Services,"Yifan Dou, Marius F.  Niculescu, D. J.  Wu"
The Effects of Rewarding User Engagement: The Case of Facebook Apps,"Jorg Claussen, Tobias  Kretschmer, Philip  Mayrhofer"
Everybody Needs Somebody: The Influence of Team Network Structure on Information Technology Use,"Masimo Magni, Corey M.  Angst, Ritu  Agarwal"
Toward an Integrated Model of Group Development: Disruption of Routines by Technology-Induced Change,"Monica J. Garfield, Alan R.  Denis"
Corporate Wikis: The Effects of Owners' Motivation and Behavior on Group Members' Engagement,"Ofer Arazy, Ian R.  Gellatly"
Information Security Outsourcing with System Interdependency and Mandatory Security Requirement,"Kai-Lung Hui, Wendy  Hui, Wei T.  Yue"
Organizations' Information Security Policy Compliance: Stick or Carrot Approach?,"Yan Chen, K. (Ram)  Ramamurthy, Kuang-Wei  Wen"
Competitive Target Advertising and Consumer Data Sharing,"Xia Zhao, Ling  Xue"
Alternate Strategies for a Win-Win Seeking Agent in Agent-Human Negotiations,"Yinping Yang, Sharad  Singhal, Yunjie (Calvin)  Xu"
Inducing Intrinsic Motivation to Explore the Enterprise System: The Supremacy of Organizational Levers,"Weiling Ke, Chuan-Ho  Tan, Choon-Ling  Sia, Kwok-Kee  Wei"
Understanding Postadoptive Behaviors in Information Systems Use: A Longitudinal Analysis of System Use Problems in the Business Intelligence Context,"Xuefei (Nancy) Deng, Lei  Chi"
Investigating the Value of Sociomaterialism in Conceptualizing IT Capability of a Firm,"Gimun Kim, Bongsik  Shin, Ohbyung  Kwon"
Generalizability of Information Systems Research Using Student Subjects-A Reflection on Our Practices and Recommendations for Future Research,"Deborah Compeau, Barbara  Marcolin, Helen  Kelley, Chris  Higgins"
Advancing Public Trust Relationships in Electronic Government: The Singapore E-Filing Journey,"Eric T. K. Lim, Chee-Wee  Tan, Dianne  Cyr, Shan L.  Pan, Bo  Xiao"
Adoption and Impacts of Interorganizational Business Process Standards: Role of Partnering Synergy,"Viswanath Venkatesh, Hillol  Bala"
"Corporate IT Standardization: Product Compatibility, Exclusive Purchase Commitment, and Competition Effects","Xinxin Li, Yuxin  Chen"
Synergy and Its Limits in Managing Information Technology Professionals,"Thomas W. Ferratt, Jayesh  Prasad, Harvey G.  Enns"
User Satisfaction with Information Technology Service Delivery: A Social Capital Perspective,"Yongqiang Sun, Yulin  Fang, Kai H.  Lim, Detmar  Straub"
Ushering Buyers into Electronic Channels: An Empirical Analysis,"Nishtha Langer, Chris  Forman, Sunder  Kekre, Baohong  Sun"
What Motivates People to Purchase Digital Items on Virtual Community Websites? The Desire for Online Self-Presentation,"Hee-Woong Kim, Hock Chuan  Chan, Atreyi  Kankanhalli"
Two Worlds of Trust for Potential E-Commerce Users: Humans as Cognitive Misers,"Ben Q. Liu, Dale L.  Goodhue"
Real-Time Tactical and Strategic Sales Management for Intelligent Agents Guided by Economic Regimes,"Wolfgang Ketter, John  Collins, Maria  Gini, Alok  Gupta, Paul  Schrater"
Effects of the Presence of Organic Listing in Search Advertising,"Lizhen Xu, Jianqing  Chen, Andrew  Whinston"
"Network Neutrality and Congestion Sensitive Content Providers: Implications for Content Variety, Broadband Investment, and Regulation","Jan Kraemer, Lukas  Wiewiorra"
Underlying Consumer Heterogeneity in Markets for Subscription-Based IT Services with Network Effects,"Marius F. Niculescu, Hyoduk  Shin, Seungjin  Whang"
"Effects of Individual Self-Protection, Industry Self-Regulation, and Government Regulation on Privacy Concerns: A Study of Location-Based Services","Heng Xu, Hock-Hai  Teo, Bernard C. Y.  Tan, Ritu  Agarwal"
Analyzing Pricing Strategies for Online Services with Network Effects,"Min-Seok Pang, Hila  Etzion"
BIDDING BEHAVIOR EVOLUTION IN SEQUENTIAL AUCTIONS: CHARACTERIZATION AND ANALYSIS,"Paulo B. Goes, Gilbert G.  Karuga, Arvind K.  Tripathi"
"INFORMATION TECHNOLOGY OUTSOURCING, KNOWLEDGE TRANSFER, AND FIRM PRODUCTIVITY: AN EMPIRICAL ANALYSIS","Young Bong Chang, Vijay  Gurbaxani"
IMPACT OF USER SATISFACTION WITH MANDATED CRM USE ON EMPLOYEE SERVICE QUALITY,"J. J. Po-An Hsieh, Arun  Rai, Stacie  Petter, Ting  Zhang"
DIALECTICS OF COLLECTIVE MINDING: CONTRADICTORY APPROPRIATIONS OF INFORMATION TECHNOLOGY IN A HIGH-RISK PROJECT,"Jessica Luo Carlo, Kalle  Lyytinen, Jr.  Richard J.  Boland"
GROWTH AND SUSTAINABILITY OF MANAGED SECURITY SERVICES NETWORKS: AN ECONOMIC PERSPECTIVE,"Alok Gupta, Dmitry  Zhdanov"
THE EFFECTIVENESS OF ONLINE SHOPPING CHARACTERISTICS AND WELL-DESIGNED WEBSITES ON SATISFACTION,"Jifeng Luo, Sulin  Ba, Han  Zhang"
DOES INFORMATION TECHNOLOGY INVESTMENT INFLUENCE A FIRM'S MARKET VALUE? A CASE OF NON-PUBLICLY TRADED HEALTHCARE FIRMS,"Rajiv Kohli, Sarv  Devaraj, Terence T.  Ow"
BUSINESS INTELLIGENCE AND ANALYTICS: FROM BIG DATA TO BIG IMPACT,"Hsinchun Chen, Roger H. L.  Chiang, Veda C.  Storey"
BUSINESS INTELLIGENCE IN BLOGS: UNDERSTANDING CONSUMER INTERACTIONS AND COMMUNITIES,"Michael Chau, Jennifer  Xu"
