,AF,TI,DE,AB,SO,VL,PY,IS,BP,EP
0, Ahmed Abbasi;  Chen Hsinchun;  Jay F. Nunamaker,Stylometric Identification in Electronic Markets: Scalability and Robustness, anti-aliasing;  electronic markets;  online trust;  similarity detection;  stylometry,"Online reputation systems are intended to facilitate the propagation of word of mouth as a credibility scoring mechanism for improved trust in electronic marketplaces. However, they experience two problems attributable to anonymity abuse--easy identity changes and reputation manipulation. In this study, we propose the use of stylometric analysis to help identify online traders based on the writing style traces inherent in their posted feedback comments. We incorporated a rich stylistic feature set and developed the Writeprint technique for detection of anonymous trader identities. The technique and extended feature set were evaluated on a test bed encompassing thousands of feedback comments posted by 200 eBay traders. Experiments conducted to assess the scalability (number of traders) and robustness (against intentional obfuscation) of the proposed approach found it to significantly outperform benchmark stylometric techniques. The results indicate that the proposed method may help militate against easy identity changes and reputation manipulation in electronic markets.",Journal of Management Information Systems,25,2008,1,49,78
1, Ritu Agarwal;  Mohan R. Tanniru,Knowledge Acquisition Using Structured Interviewing: An Empirical Investigation, expert systems;  knowledge acquisition;  structured interviewing,"The knowledge acquisition problem endures as a bottleneck in the construction of expert system knowledge bases. Despite the recent proliferation of techniques and the availability of more sophisticated methods for this task, the interview technique continues to be widely used, especially in business domains. This paper reports the results of an experiment conducted to compare the unstructured knowledge acquisition interview with a specific type of structured knowledge acquisition interview. Structure for the interview was provided by a domain model of the business decision-making activity that attempted to capture the subjective and qualitative aspects of decision making. Senior managers from industry served as the subjects in the experiment. The interview technique was evaluated along efficiency and effectiveness dimensions. Results indicate improved performance with the structured interviewing method.",Journal of Management Information Systems,7,1990,1,123,140
2, Anol Bhattacherjee,Individual Trust in Online Firms: Scale Development and Initial Test, e-commerce metrics;  electronic commerce;  online trust;  scale development;  trust,"The importance of trust as a key facilitator of electronic commerce is increasingly being recognized in academic and practitioner communities. However, empirical research in this area has been beset by conflicting conceptualizations of the trust construct, inadequate attention to its underlying dimensions, causes, and effects, and lack of a validated trust scale. This paper addresses these limitations in part by theoretically conceptualizing and empirically validating a scale to measure individual trust in online firms. The proposed scale taps into three key dimensions of trust: trustee's ability, benevolence, and integrity. An iterative testing and refinement procedure using two field surveys of online retailing and online banking users, leads to a final seven-item trust scale that exhibits adequate levels of reliability, convergent validity, discriminant validity, and nomological validity. It is expected that the scale presented in this paper will assist future empirical research on trust in online entities.",Journal of Management Information Systems,19,2002,1,211,241
3, Eric T. G. Wang;  Jeffrey C. F. Tai;  Hsaio-Lan Wei,A Virtual Integration Theory of Improved Supply-Chain Performance, competitive advantage;  environmental uncertainty;  interorganizational information systems;  structural equation modeling;  supply chain management,"Organizing and maintaining a competent and flexible supply chain is a major challenge to manufacturers in today's increasingly competitive and uncertain environments. Virtual integration represents the substitution of ownership with partnership by integrating a set of suppliers through information technology (IT) for tighter supply-chain collaboration. From the systems and control perspectives, this study develops a theory of virtual integration with an empirical model to examine the role that virtual integration plays in facilitating manufacturers to achieve greater manufacturing flexibility and comparative cost advantage. Based on a survey of Taiwanese manufacturing firms, our results show that environmental uncertainty tends to motivate manufacturers to increase their manufacturing flexibility, with both virtual integration and supplier responsiveness playing a vital enabling role. The results demonstrate the importance of supplier responsiveness for manufacturers to gain manufacturing flexibility and comparative cost advantage in supply-chain operations. Environmental uncertainty, thus, might first appear as a threat to a manufacturer, but with the help of IT and more responsive suppliers, such a threat could be transformed into a competitive edge, as reflected in the manufacturer's higher levels of manufacturing flexibility and comparative cost advantage.",Journal of Management Information Systems,23,2006,2,41,64
4, Nianxin Wang;  Huigang Liang;  Weijun Zhong;  Yajiong Xue;  Jinghua Xiao,Resource Structuring or Capability Building?: An Empirical Study of the Business Value of Information Technology, business value of information technology;  capability building;  competitive strategy;  core competencies;  environmental dynamism;  resource structuring,"This paper examines two ways to create business value of information technology (BVIT): resource structuring and capability building. We develop a research model positing that IT resources and IT capabilities enhance a firm's performance by providing support to its competitive strategies and core competencies, and the strengths of these supports vary in accord with environmental dynamism. The model is empirically tested using data collected from 296 firms in China. It is found that IT resources generate more business effects in stable environments than in dynamic environments, while IT capabilities generate more business effects in dynamic environments than in stable environments. The results suggest that the BVIT creation mechanism in stable environments is primarily resource structuring while the mechanism in dynamic environments is primarily capability building.",Journal of Management Information Systems,29,2012,2,325,367
5, Richard W. Wang;  Diane M. Strong,Beyond Accuracy: What Data Quality Means to Data Consumers, data administration;  data quality;  database systems,"Poor data quality (DQ) can have substantial social and economic impacts. Although firms are improving data quality with practical approaches and tools, their improvement efforts tend to focus narrowly on accuracy. We believe that data consumers have a much broader data quality conceptualization than IS professionals realize. The purpose of this paper is to develop a framework that captures the aspects of data quality that are important to data consumers. A two-stage survey and a two-phase sorting study were conducted to develop a hierarchical framework for organizing data quality dimensions. This framework captures dimensions of data quality that are important to data consumers. Intrinsic DQ denotes that data have quality in their own right. Contextual DQ highlights the requirement that data quality must be considered within the context of the task at hand. Representational DQ and accessibility DQ emphasize the importance of the role of systems. These findings are consistent with our understanding that high-quality data should be intrinsically good, contextually appropriate for the task, clearly represented, and accessible to the data consumer. Our framework has been used effectively in industry and government. Using this framework, IS managers were able to better understand and meet their data consumers' data quality needs. The salient feature of this research study is that quality attributes of data are collected from data consumers instead of being defined theoretically or based on researchers' experience. Although exploratory, this research provides a basis for future studies that measure data quality along the dimensions of this framework.",Journal of Management Information Systems,12,1996,4,5,33
6, Shouhong Wang,Toward Formalized Object-Oriented Management Information Systems Analysis, management information systems analysis;  object-oriented systems analysis;  protocol analysis,"Object-oriented approaches have received attention in management information systems development due to the advantages over the traditional approaches claimed by the proponents of the object-oriented approaches. To describe how people actually perform object-oriented analyses, this paper formalizes an object-oriented systems analysis approach. Protocol analyses of seven systems analysts, who were experienced with structured analysis, were used to formalize procedures for object-oriented analysis. The protocol analyses revealed four fundamental types of object classes in a management information system. They are: input, output, physiomorphic, and event object classes. The identification of input, output, and event classes depends upon the problem domain being analyzed. Physiomorphic classes, on the other hand, are more likely to match a schema that is perceived by the analyst based on his a priori knowledge about the problem domain classes. The protocol analyses also revealed that object classes are identified in an ad hoc manner; however, when checking the analysis, depth-first or breadth-first searching methods are often used. These, in turn, are controlled by a global backward or forward tracing strategy. Tracing the origin of data in messages was the strategy used for checking the completeness of the analysis. An experiment was conducted to compare the protocol-based object-oriented method and structured analysis. Thirty-two students who had no previous systems analysis experience were trained and then completed a problem using both techniques. The protocol-based method produced analyses that more closely matched the problem. Furthermore, it required less time to complete an analysis, and it was perceived as easier to use by the participants than the structured analysis method.",Journal of Management Information Systems,12,1996,4,117,141
7, Weiquan Wang;  Izak Benbasat,Attributions of Trust in Decision Support Technologies: A Study of Recommendation Agents for E-Commerce, decision support technology;  reasons to trust;  recommendation agents;  trust attribution;  trust in technology,"As organizations increasingly utilize Web-based technologies to support customers better, trust in decision support technologies has emerged as an important issue in online environments. In this study, we identify six reasons users trust (or do not trust) a technology in the early stages of its use by extending the theories of trust formation in interpersonal and organizational contexts to that of decision support technologies. We study the particular context of decision support technologies for e-commerce: online recommendation agents (RAs), which facilitate users' decision making by providing advice on what to buy based on user-specified needs and preferences. A laboratory experiment is conducted using a multimethod approach to collect data. Both quantitative data about participants' trust in RAs and written protocols that explain the reasons for their levels of trust are collected. A content analysis of the written protocols identifies both positive and negative trust attributions that are then mapped to six trust reasons. A structural equation modeling analysis is employed to test the causal strengths of the trust reasons in explaining participants' trust in RAs. The results reveal that in the early stages of trust formation, four positive reasons (i.e., knowledge-based, interactive, calculative, and dispositional) are associated with higher trust in RAs and two negative reasons (i.e., calculative and interactive) are associated with lower trust in RAs. The results also demonstrate some distinctive features of trust formation with respect to decision support technologies. We discuss the research and practical implications of the findings and describe opportunities for future research.",Journal of Management Information Systems,24,2008,4,249,273
8, Yinglei Wang;  Nicole Haggerty,Individual Virtual Competence and Its Influence on Work Outcomes, individual virtual competence;  individual work outcomes;  virtual organization;  virtual work,"Witnessing both opportunities and challenges in virtual work arrangements, researchers have explored a number of technological, social, and organizational factors in order to improve virtual work effectiveness. However, there is limited understanding of an important element of virtual workâ€”the individuals. Our review of the literature indicates that the composition of individual knowledge, skills, and abilities (KSAs) required to work virtually would benefit from further research. In this study, we theoretically and empirically develop the construct of individual virtual competence that captures the key KSAs required to perform effectively in todayâ€™s virtualized workplace, within a parsimonious nomological network. Substantiated by its explanatory power on individual perceived performance and satisfaction, individual virtual competence contributes to the literature by acknowledging a distinct workplace competency that can be incorporated in future individual-level studies of virtual phenomena. This research provides managers with a lens to understand differences in individual work outcomes and provides a lever to developing individualsâ€™ capabilities so as to improve work outcomes.",Journal of Management Information Systems,27,2011,4,299,334
9, Hugh J. Watson;  Houston H. Carr,Organizing for Decision Support System Support: The End-User Services Alternative, decision support systems;  organizing for decision support systems;  human information processing,"There are a number of organization structure alternatives for supporting decision support systems, and each alternative has its advantages and disadvantages. One emerging alternative, that of providing support through an end-user services group, is being successfully used by the Oglethorpe Power Corporation.",Journal of Management Information Systems,4,1987,1,83,95
